"Product ID",Category,"Product Name","Stock Quantity",Price,"Image Filename"
170,Beds,"Chair Bed (Large)",1,0,chair-bed-large.jpg
169,Beds,"Chair Bed (Small)",1,0,chair-bed-small.jpg
171,Beds,"Chair Fur Bed",1,0,chair-fur-bed.jpg
168,Beds,"Fur Bed (Medium)",1,0,fur-bed-medium.jpg
167,Beds,"Fur Bed (Small)",1,0,fur-bed-small.jpg
174,Beds,"Fur Bed with Hood (Large)",1,0,fur-bed-with-hood-large.jpg
173,Beds,"Fur Bed with Hood (Medium)",1,0,fur-bed-with-hood-medium.jpg
172,Beds,"Fur Bed with Hood (Small)",1,0,fur-bed-with-hood-small.jpg
175,Beds,"Fur Chair",1,0,fur-chair.jpg
163,Beds,"Hoopnet Bed",1,0,hoopnet-bed.jpg
166,Beds,"Plain Bed (Large)",0,0,plain-bed-large.jpg
165,Beds,"Plain Bed (Medium)",1,0,plain-bed-medium.jpg
164,Beds,"Plain Bed (Small)",0,0,plain-bed-small.jpg
29,"Cat Can Food","Booster Cat",54,0,booster-cat.jpg
31,"Cat Can Food","Mousse Pate",48,0,mousse-pate.jpg
28,"Cat Can Food",Optimax,26,0,optimax.jpg
26,"Cat Can Food","Real Meat Brought",48,0,real-meat-brought.jpg
30,"Cat Can Food","Sigma Cat",22,0,sigma-cat.jpg
27,"Cat Can Food","Wimow Can Food",107,0,wimow-can-food.jpg
32,"Cat Dry Food","Booster Cat Dry",3,0,booster-cat-dry.jpg
34,"Cat Dry Food","Boreal Cat",8,0,boreal-cat.jpg
38,"Cat Dry Food","Purina Go-Cat",6,0,purina-go-cat.jpg
37,"Cat Dry Food","Royal Canin (2kg)",6,0,royal-canin-2kg.jpg
36,"Cat Dry Food","Royal Canin (4kg)",1,0,royal-canin-4kg.jpg
35,"Cat Dry Food","Sigma Cat",1,0,sigma-cat.jpg
33,"Cat Dry Food",Whiskas,2,0,whiskas.jpg
50,"Cat Litter","Chat & Chat",2,0,chat-chat.jpg
48,"Cat Litter","Clean Paws",2,0,clean-paws.jpg
46,"Cat Litter","Clean Step (9L)",3,0,clean-step-9l.jpg
51,"Cat Litter","Glory Penny (10L)",1,0,glory-penny-10l.jpg
47,"Cat Litter","Jojo Kitty Fresh (8kg)",28,0,jojo-kitty-fresh-8kg.jpg
49,"Cat Litter",Pettex,3,0,pettex.jpg
43,"Cat Treats",Gemon,5,0,gemon.jpg
42,"Cat Treats",Leo,30,0,leo.jpg
39,"Cat Treats",Mouthful,18,0,mouthful.jpg
44,"Cat Treats",Sheba,21,0,sheba.jpg
45,"Cat Treats",Wagon,0,0,wagon.jpg
40,"Cat Treats","Whiskas Treat",29,0,whiskas-treat.jpg
41,"Cat Treats","Wimow Treat",69,0,wimow-treat.jpg
185,Clothing,"Dog Dress",39,0,dog-dress.jpg
186,Clothing,"Dog Shoe",2,0,dog-shoe.jpg
139,Collars,"Bell Collar (Small)",1,0,bell-collar-small.jpg
136,Collars,"Big Collar",14,0,big-collar.jpg
141,Collars,"Elizabethan Collar (Medium)",1,0,elizabethan-collar-medium.jpg
140,Collars,"Elizabethan Collar (Small)",3,0,elizabethan-collar-small.jpg
137,Collars,"Medium Collar",7,0,medium-collar.jpg
142,Collars,"Pet Protective Collar Cone",3,0,pet-protective-collar-cone.jpg
138,Collars,"Small Collar",8,0,small-collar.jpg
4,"Dog Can Food",Balance,25,0,balance.jpg
3,"Dog Can Food","Booster All Life Stage",52,0,booster-all-life-stage.jpg
